representation_family,model,label_col,n_representations,representations,accuracy_family_mean,accuracy_family_std,accuracy_family_min,accuracy_family_max,balanced_accuracy_family_mean,balanced_accuracy_family_std,balanced_accuracy_family_min,balanced_accuracy_family_max,macro_f1_family_mean,macro_f1_family_std,macro_f1_family_min,macro_f1_family_max,weighted_f1_family_mean,weighted_f1_family_std,weighted_f1_family_min,weighted_f1_family_max
random_matrisome,ft_transformer_lite,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8556455309396485,0.017432065188376103,0.8240387063916476,0.8898395721925134,0.8537840979512019,0.012038348394559889,0.8354235764043565,0.8720831401066824,0.8148126373977682,0.017863167736571876,0.7904403882068722,0.8491500646156569,0.8599147530956082,0.01674027866253431,0.8301322528673083,0.8918813309612936
random_non_ecm,ft_transformer_lite,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.5967405143875731,0.02951355112590688,0.5452508276037688,0.638961038961039,0.5935434240589503,0.029857981765572104,0.533535653444843,0.6299734985570515,0.531940134999618,0.028165606549425192,0.4771600702650714,0.566735968626582,0.6119947179114862,0.029134589722929205,0.5643028001333491,0.6560756044732357
matrisome_pca,logistic_regression,tissue,1,matrisome_pca9,0.9395976572447161,0.0,0.9395976572447161,0.9395976572447161,0.9330362761378973,0.0,0.9330362761378973,0.9330362761378973,0.9162071479033835,0.0,0.9162071479033835,0.9162071479033835,0.9405622293329146,0.0,0.9405622293329146,0.9405622293329146
curated_ecm,logistic_regression,tissue,1,curated_9_ecm_programs,0.8647313470842883,0.0,0.8647313470842883,0.8647313470842883,0.8609026441353637,0.0,0.8609026441353637,0.8609026441353637,0.8292325455376529,0.0,0.8292325455376529,0.8292325455376529,0.8692944479291563,0.0,0.8692944479291563,0.8692944479291563
random_matrisome,logistic_regression,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.7825872167048638,0.026590539750975233,0.739597657244716,0.8329513623631272,0.8001396222193538,0.016644444960176405,0.7770059604028806,0.8342709742534314,0.742459796433821,0.02263005676208224,0.7051478992675448,0.7905896187219785,0.7894742124382168,0.025821238524284397,0.748479707306821,0.8369314708110098
random_non_ecm,logistic_regression,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.5099668958492488,0.034016396246677384,0.46610644257703077,0.5766233766233766,0.5400558628457885,0.028281485665719683,0.48216601995596786,0.5802756371978225,0.4664092456774401,0.027528689737982125,0.42092117999864864,0.5136676842078248,0.5195676563885898,0.03598743577438615,0.473359094803753,0.5856185780127593
matrisome_pca,residual_mlp,tissue,1,matrisome_pca9,0.9558950853068499,0.0,0.9558950853068499,0.9558950853068499,0.9552342407234573,0.0,0.9552342407234573,0.9552342407234573,0.9412143439174112,0.0,0.9412143439174112,0.9412143439174112,0.9567744361495976,0.0,0.9567744361495976,0.9567744361495976
curated_ecm,residual_mlp,tissue,1,curated_9_ecm_programs,0.9293099057804941,0.0,0.9293099057804941,0.9293099057804941,0.9249258006752822,0.0,0.9249258006752822,0.9249258006752822,0.9044100626514675,0.0,0.9044100626514675,0.9044100626514675,0.9310450375002144,0.0,0.9310450375002144,0.9310450375002144
random_matrisome,residual_mlp,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8726814362108481,0.014411930229060175,0.8536287242169595,0.9007894066717596,0.867683616471477,0.013135393672549294,0.8458055637482829,0.8889487033516106,0.833695765829481,0.01690877451625857,0.8124510915122807,0.8613238504450076,0.8762925574953888,0.013983946623319103,0.858602422516752,0.9032767234278867
random_non_ecm,residual_mlp,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.606768525592055,0.031296438272228326,0.5545709192768017,0.6519480519480518,0.5990689499479416,0.029319848628421283,0.5404115647480066,0.6357527579766898,0.5405665735912711,0.029215209518844584,0.48548679229564395,0.5769481223560924,0.6223378084964251,0.029285999390839618,0.5765546762181228,0.6680834379380634
matrisome_pca,tabicl,tissue,1,matrisome_pca9,0.9668449197860962,0.0,0.9668449197860962,0.9668449197860962,0.95185129942677,0.0,0.95185129942677,0.95185129942677,0.9564959049631758,0.0,0.9564959049631758,0.9564959049631758,0.9664117385655453,0.0,0.9664117385655453,0.9664117385655453
curated_ecm,tabicl,tissue,1,curated_9_ecm_programs,0.9470842882607589,0.0,0.9470842882607589,0.9470842882607589,0.9213431833945297,0.0,0.9213431833945297,0.9213431833945297,0.9262131674938064,0.0,0.9262131674938064,0.9262131674938064,0.9461694084398591,0.0,0.9461694084398591,0.9461694084398591
