representation,representation_family,representation_kind,model,label_col,n_folds,mean_n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
random_matrisome_programs_r6,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.8329513623631272,0.007730548901863083,0.8342709742534314,0.00676254216380052,0.7905896187219785,0.0065626131687045635,0.8369314708110098,0.0072154096443087885
random_matrisome_programs_r2,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.7776419658772601,0.0057876130260643786,0.8168901419910745,0.005103526266270717,0.7617996908575898,0.0055408699600398015,0.7795450577508655,0.007324364858408722
random_matrisome_programs_r5,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.7889483065953653,0.004590437214868856,0.8098635058811772,0.005097883889845927,0.7526265735599945,0.006252488866987835,0.7977338816185346,0.004260478110979656
random_matrisome_programs_r1,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.8122230710466004,0.007411243091858904,0.8046888218339359,0.009133608512677797,0.7494848197296969,0.009332154385576793,0.820952868400578,0.007396427854967523
random_matrisome_programs_r4,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.7778456837280368,0.009062868908532726,0.8004220946136404,0.01020605370420813,0.7339893972712382,0.006334065769107531,0.7835328031612507,0.009403157245465095
random_matrisome_programs_r8,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.7884390119684237,0.004870092421851555,0.7975928236102234,0.0066291986696813635,0.7497130725885297,0.005357529205037868,0.796884562982052,0.004493543863055952
random_matrisome_programs_r9,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.7852813852813852,0.006869627518195023,0.7936362144841898,0.0028444311687724206,0.7316321706772286,0.0048565380832400985,0.7934581614020862,0.005820741013333667
random_matrisome_programs_r10,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.7416348357524829,0.010138161658257846,0.7895407379995623,0.01174170649694193,0.7215685895113468,0.01107283528924369,0.748479707306821,0.009998238985170355
random_matrisome_programs_r3,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.739597657244716,0.005940654945149476,0.7774849471234228,0.004190158097717779,0.7051478992675448,0.005913088034324131,0.7512863733050831,0.0053589781985076195
random_matrisome_programs_r7,random_matrisome,gene_set_scores,logistic_regression,tissue,5,9.0,0.78130888719124,0.0032146134633174593,0.7770059604028806,0.007647472849348246,0.7280461321530617,0.007071477878420394,0.7859372376438876,0.0024643748910676347
